accession	phylum	class	species
GB_GCA_028713495	Micrarchaeota	Micrarchaeia	Bilamarchaeum sp028713495
GB_GCA_028714535	Micrarchaeota	Micrarchaeia	Bilamarchaeum sp028714535
GB_GCA_040758595	Micrarchaeota	Micrarchaeia	Bilamarchaeum sp040758595
GB_GCA_903835325	Micrarchaeota	Micrarchaeia	Bilamarchaeum sp903835325
GB_GCA_002867475	Nanobdellota	Nanobdellia	BM511 sp002867475
GB_GCA_011050875	Nanobdellota	Nanobdellia	BMS3ABIN17 sp002897655
GB_GCA_937910485	Hydrothermarchaeota	Hydrothermarchaeia	BMS3B sp002897955
GB_GCA_003229935	Hydrothermarchaeota	Hydrothermarchaeia	BMS3B sp003229935
GB_GCA_029785755	Thermoproteota	Nitrososphaeria	BOG-1369 sp021848045
GB_GCA_003138595	Halobacteriota	Bog-38	Bog-38 sp003139855
GB_GCA_015660915	Halobacteriota	Bog-38	Bog-38 sp015660915
GB_GCA_018661605	Nanobdellota	Nanobdellia	BS150m-G60 sp018692925
GB_GCA_902384455	Altiarchaeota	Altiarchaeia	CABMCB01 sp902384455
GB_GCA_041652195	Nanobdellota	Nanobdellia	CABMGE01 sp041656875
GB_GCA_019323575	Nanobdellota	Nanobdellia	CABMGU01 sp019323575
GB_GCA_026394935	Nanobdellota	Nanobdellia	CABMGU01 sp026394935
GB_GCA_035292785	Nanobdellota	Nanobdellia	CABMGU01 sp035292785
GB_GCA_038868995	Nanobdellota	Nanobdellia	CABMGU01 sp038868995
GB_GCA_041305185	Nanobdellota	Nanobdellia	CABMGU01 sp041305185
GB_GCA_902385765	Nanobdellota	Nanobdellia	CABMGU01 sp902385765
GB_GCA_902529885	Nanobdellota	Nanobdellia	CABZYC01 sp902529885
GB_GCA_902812495	Thermoproteota	Nitrososphaeria	CADDZR01 sp902812495
GB_GCA_902812485	Thermoproteota	Nitrososphaeria	CADDZS01 sp902812485
GB_GCA_026397355	Aenigmatarchaeota	Aenigmatarchaeia	CAIKBN01 sp903825675
GB_GCA_016932815	Micrarchaeota	Micrarchaeia	CAIKOA01 sp016932815
GB_GCA_030613375	Micrarchaeota	Micrarchaeia	CAIKOA01 sp030613375
GB_GCA_903828955	Micrarchaeota	Micrarchaeia	CAIKOA01 sp903828955
GB_GCA_026394715	Halobacteriota	Methanomicrobia	CAIKOD01 sp026394715
GB_GCA_035505975	Halobacteriota	Methanomicrobia	CAIKOD01 sp035505975
GB_GCA_035543455	Halobacteriota	Methanomicrobia	CAIKOD01 sp035543455
GB_GCA_037137755	Halobacteriota	Methanomicrobia	CAIKOD01 sp037137755
GB_GCA_903834305	Halobacteriota	Methanomicrobia	CAIKOD01 sp903819595
GB_GCA_903828975	Halobacteriota	Methanomicrobia	CAIKOD01 sp903828975
GB_GCA_038874595	Micrarchaeota	Micrarchaeia	CAILAH01 sp038874595
GB_GCA_903842985	Nanobdellota	Nanobdellia	CAIMOB01 sp903842985
GB_GCA_016867035	Nanobdellota	Nanobdellia	CAIPOI01 sp016867035
GB_GCA_903825585	Nanobdellota	Nanobdellia	CAIPOI01 sp903866625
GB_GCA_903877165	Thermoplasmatota	E2	CAIRCU01 sp903877165
GB_GCA_903884115	Micrarchaeota	Micrarchaeia	CAISDH01 sp903884115
GB_GCA_903914545	Micrarchaeota	Micrarchaeia	CAISET01 sp903884505
GB_GCA_903904885	Nanobdellota	Nanobdellia	CAIVED01 sp903904885
GB_GCA_903907555	Nanobdellota	Nanobdellia	CAIVOO01 sp903907555
GB_GCA_029557835	Micrarchaeota	Micrarchaeia	CAIXOA01 sp029557835
GB_GCA_040753215	Micrarchaeota	Micrarchaeia	CAIXOA01 sp040753215
GB_GCA_041653635	Micrarchaeota	Micrarchaeia	CAIXOA01 sp041653635
